Symbol,Company,Sector
DCL.AX,Domacom Ltd,Financials
DCN.AX,Dacian Gold Ltd,Materials
DCX.AX,Discovex Resources Ltd,Materials
DDD.AX,3D Resources Ltd,Materials
DDR.AX,Dicker Data Ltd,Information Technology
DDT.AX,Datadot Technology Ltd,Consumer Discretionary
DEG.AX,De Grey Mining Ltd,Materials
DEM.AX,De.Mem Ltd,Utilities
DEV.AX,DEVEX Resources Ltd,Energy
DFM.AX,Dongfang Modern Agriculture Holding Group Ltd,Consumer Staples
DGGF.AX,Betashares Diversified Growth ETF,
DGH.AX,Desane Group Holdings Ltd,Real Estate
DGO.AX,DGO Gold Ltd,Materials
DGR.AX,DGR Global Ltd,Materials
DHG.AX,Domain Holdings Australia Ltd,Communication Services
DHHF.AX,Betashares Diversified High Growth ETF,
DHR.AX,Dark Horse Resources Ltd,Materials
DIV.AX,Ubs IQ Morningstar Australia Dividend Yield ETF,
DJRE.AX,SPDR Dow Jones Global Real Estate Fund,
DJW.AX,Djerriwarrh Investments Ltd,
DKM.AX,Duketon Mining Ltd,Materials
DLC.AX,Delecta Ltd,Consumer Discretionary
DME.AX,Dome Gold Mines Ltd,Materials
DMG.AX,Dragon Mountain Gold Ltd,Materials
DMKT.AX,AMP Capital Dynamic Markets Fund (Hedge Fund),
DMP.AX,Domino's PIZZA Enterprises Ltd,Consumer Discretionary
DNA.AX,Donaco International Ltd,Consumer Discretionary
DNK.AX,Danakali Ltd,Materials
DOR.AX,Doriemus Plc,Energy
DOW.AX,Downer Edi Ltd,Industrials
DRE.AX,Dreadnought Resources Ltd,Materials
DRO.AX,Droneshield Ltd,Industrials
DRUG.AX,Betashares Global Healthcare ETF - Currency Hedged,
DRX.AX,Diatreme Resources Ltd,Materials
DSE.AX,Dropsuite Ltd,Information Technology
DTC.AX,Damstra Holdings Ltd,Information Technology
DTI.AX,DTI Group Ltd,Information Technology
DTL.AX,Data#3 Ltd,Information Technology
DTM.AX,Dart Mining NL,Materials
DTR.AX,Dateline Resources Ltd,Materials
DTS.AX,Dragontail Systems Ltd,Information Technology
DTZ.AX,DOTZ Nano Ltd,Information Technology
DUB.AX,Dubber Corporation Ltd,Information Technology
DUI.AX,Diversified United Investment Ltd,
DVL.AX,Dorsavi Ltd,Health Care
DVN.AX,Devine Ltd,Real Estate
DW8.AX,Digital Wine Ventures Ltd,Consumer Discretionary
DWS.AX,DWS Ltd,Information Technology
DXB.AX,Dimerix Ltd,Health Care
DXN.AX,DXN Ltd,Information Technology
DXS.AX,Dexus,Real Estate
DYL.AX,Deep Yellow Ltd,Energy
DZZF.AX,Betashares Diversified Conservative Income ETF,
E25.AX,Element 25 Ltd,Materials
E2E.AX,Eon NRG Ltd,Energy
E2M.AX,E2 Metals Ltd,Materials
EAF.AX,Evans & Partners Asia Fund,
EAI.AX,Ellerston Asian Investments Ltd,
EAS.AX,Easton Investments Ltd,Financials
EAX.AX,Energy Action Ltd,Industrials
EBG.AX,Eumundi Group Ltd,Consumer Discretionary
EBND.AX,Vaneck Emerging Inc Opportunities Active ETF (Managed Fund),
EBO.AX,Ebos Group Ltd,Health Care
ECF.AX,Elanor Commercial Property Fund,Real Estate
ECG.AX,Ecargo Holdings Ltd,Industrials
ECL.AX,Excelsior Capital Ltd,Industrials
ECP.AX,ECP Emerging Growth Ltd,
ECS.AX,ECS Botanics Holdings Ltd,Health Care
ECT.AX,Environmental Clean Technologies Ltd,Industrials
ECX.AX,Eclipx Group Ltd,Financials
ED1.AX,Evans Dixon Ltd,Financials
EDC.AX,Eildon Capital Fund,Financials
EDE.AX,Eden Innovations Ltd,Energy
EEG.AX,Empire Energy Group Ltd,Energy
EER.AX,East Energy Resources Ltd,Energy
EEU.AX,Betashares Euro ETF,
EFE.AX,Eastern Iron Ltd,Materials
EFF.AX,Evans & Partners Australian Flagship Fund,
EGD.AX,Evans & Partners Global Disruption Fund,
EGF.AX,Evans & Partners Global Flagship Fund,
EGG.AX,Enero Group Ltd,Communication Services
EGH.AX,Eureka Group Holdings Ltd,Real Estate
EGI.AX,Ellerston Global Investments Ltd,
EGL.AX,Environmental Group Ltd (the),Industrials
EGN.AX,Engenco Ltd,Industrials
EGO.AX,Empire Oil & Gas NL,Energy
EGR.AX,Ecograf Ltd,Materials
EGY.AX,Energy Technologies Ltd,Industrials
EHE.AX,Estia Health Ltd,Health Care
EHH.AX,Eagle Health Holdings Ltd,Consumer Staples
EHL.AX,Emeco Holdings Ltd,Industrials
EHX.AX,Ehr Resources Ltd,Materials
EIGA.AX,Einvest Income Generator Fund (Managed Fund),
EINC.AX,Betashares Legg Mason Equity Income Fund (Managed Fund),
ELD.AX,Elders Ltd,Consumer Staples
ELE.AX,Elmore Ltd,Materials
ELO.AX,Elmo Software Ltd,Information Technology
ELS.AX,Elsight Ltd,Information Technology
ELT.AX,Elementos Ltd,Materials
ELX.AX,ELLEX Medical Lasers Ltd,Health Care
EM1.AX,Emerge Gaming Ltd,Communication Services
EM2.AX,Eagle Mountain Mining Ltd,Materials
EMB.AX,Embelton Ltd,Industrials
EMD.AX,Emerald Clinics Ltd,Health Care
EME.AX,Energy Metals Ltd,Energy
EMH.AX,European Metals Holdings Ltd,Materials
EMKT.AX,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF,
EML.AX,EML Payments Ltd,Information Technology
EMMG.AX,Betashares Legg Mason Emerging Markets Fund (Managed Fund),
EMN.AX,Euro Manganese Inc,Materials
EMP.AX,Emperor Energy Ltd,Energy
EMR.AX,Emerald Resources NL,Materials
EMT.AX,Emetals Ltd,
EMU.AX,EMU NL,Materials
EMUCA.AX,EMU NL,
EMV.AX,Emvision Medical Devices Ltd,Health Care
EN1.AX,Engage.BDR Ltd,Communication Services
ENA.AX,Ensurance Ltd,Financials
ENB.AX,Eneabba Gas Ltd,Utilities
ENE.AX,Enevis Ltd,Industrials
ENN.AX,Elanor Investors Group,Consumer Discretionary
ENR.AX,Encounter Resources Ltd,Materials
ENT.AX,Enterprise Metals Ltd,Materials
ENX.AX,Enegex Ltd,Energy
EOF.AX,Ecofibre Ltd,Health Care
EOL.AX,Energy One Ltd,Information Technology
EOR.AX,EOR Group Ltd,Energy
EOS.AX,Electro Optic Systems Holdings Ltd,Industrials
EPD.AX,Empired Ltd,Information Technology
EPM.AX,Eclipse Metals Ltd,Energy
EQE.AX,EQUUS Mining Ltd,Materials
EQT.AX,EQT Holdings Ltd,Financials
EQX.AX,Equatorial Resources Ltd,Materials
ERA.AX,Energy Resources of Australia Ltd,Energy
ERF.AX,Elanor Retail Property Fund,Real Estate
ERG.AX,Eneco Refresh Ltd,Consumer Staples
ERL.AX,Empire Resources Ltd,Materials
ERM.AX,Emmerson Resources Ltd,Materials
ERX.AX,Exore Resources Ltd,Materials
ESE.AX,Esense-Lab Ltd,Health Care
ESGI.AX,Vaneck Vectors MSCI International Sustainable Equity ETF,
ESH.AX,Esports Mogul Ltd,Communication Services
ESK.AX,Etherstack Plc,Information Technology
ESL.AX,Eco Systems Ltd,Real Estate
ESR.AX,Estrella Resources Ltd,Materials
ESTX.AX,ETFs Euro STOXX 50 ETF,
ETF.AX,Ubs IQ Morningstar Australia Quality ETF,
ETHI.AX,Betashares Global Sustainability Leaders ETF,
ETPMAG.AX,ETFs Group,
ETPMPD.AX,ETFs Group,
ETPMPM.AX,ETFs Group,
ETPMPT.AX,ETFs Group,
EUC.AX,European Cobalt Ltd,Materials
EUR.AX,European Lithium Ltd,Materials
EVE.AX,EVE Investments Ltd,Financials
EVN.AX,Evolution Mining Ltd,Materials
EVO.AX,Evolve Education Group Ltd,Consumer Discretionary
EVS.AX,Envirosuite Ltd,Information Technology
EVT.AX,Event Hospitality and Entertainment Ltd,Communication Services
EVZ.AX,EVZ Ltd,Industrials
EWC.AX,Energy World Corporation Ltd,Utilities
EX1.AX,Exopharm Ltd,Health Care
EX20.AX,Betashares Australian Ex-20 Portfolio Diversifier ETF,
EXL.AX,Elixinol Global Ltd,Consumer Staples
EXO.AX,ENNOX Group Ltd,Financials
EXP.AX,Experience Co Ltd,Consumer Discretionary
EXR.AX,Elixir Energy Ltd,Energy
EZL.AX,EUROZ Ltd,Financials
F100.AX,Betashares Ftse 100 ETF,
FAIR.AX,Betashares Australian Sustainability Leaders ETF,
FAM.AX,Family Insights Group Ltd,Information Technology
FANG.AX,ETFs Fang+ ETF,
FAR.AX,FAR Ltd,Energy
FAU.AX,First Au Ltd,Materials
FBR.AX,FBR Ltd,Industrials
FBU.AX,Fletcher Building Ltd,Materials
FCG.AX,Frontier Capital Group Ltd,Consumer Discretionary
FCL.AX,Fineos Corporation Holdings Plc,Information Technology
FCT.AX,Firstwave Cloud Technology Ltd,Information Technology
FDM.AX,Freedom Oil and Gas Ltd,Energy
FDV.AX,Frontier Digital Ventures Ltd,Communication Services
FDX.AX,Frontier Diamonds Ltd,Materials
FE8.AX,Faster Enterprises Ltd,Real Estate
FEI.AX,Fe Investments Group Ltd,Financials
FEL.AX,Fe Ltd,Materials
FEMX.AX,Fidelity Global Emerging Markets Fund (Managed Fund),
FEX.AX,FENIX Resources Ltd,Materials
FFC.AX,Farmaforce Ltd,Health Care
FFG.AX,Fatfish Blockchain Ltd,Financials
FFI.AX,FFI Holdings Ltd,Consumer Staples
FFL.AX,Founders First Ltd,Consumer Staples
FFR.AX,Firefly Resources Ltd,Materials
FGG.AX,Future Generation Global Investment Company Ltd,
FGO.AX,Flamingo Ai Ltd,Information Technology
FGR.AX,First Graphene Ltd,Materials
FGX.AX,Future Generation Investment Company Ltd,
FHS.AX,Freehill Mining Ltd,Materials
FID.AX,Fiducian Group Ltd,Financials
FIG.AX,Freedom Insurance Group Ltd,Financials
FIJ.AX,Fiji Kava Ltd,Consumer Staples
FIN.AX,FIN Resources Ltd,Materials
FLC.AX,Fluence Corporation Ltd,Industrials
FLN.AX,Freelancer Ltd,Industrials
FLOT.AX,Vaneck Vectors Australian Floating Rate ETF,
FLT.AX,Flight Centre Travel Group Ltd,Consumer Discretionary
FMG.AX,Fortescue Metals Group Ltd,Materials
FML.AX,Focus Minerals Ltd,Materials
FMS.AX,Flinders Mines Ltd,Materials
FNP.AX,Freedom Foods Group Ltd,Consumer Staples
FNT.AX,Frontier Resources Ltd,Materials
FOD.AX,The Food Revolution Group Ltd,Consumer Staples
FOOD.AX,Betashares Global Agriculture ETF - Currency Hedged,
FOR.AX,Forager Australian Shares Fund,
FPC.AX,Fat Prophets Global Contrarian Fund Ltd,
FPH.AX,Fisher & Paykel Healthcare Corporation Ltd,Health Care
FPL.AX,Fremont Petroleum Corporation Ltd,Energy
FPP.AX,Fat Prophets Global Property Fund,
FRI.AX,Finbar Group Ltd,Real Estate
FRM.AX,Farm Pride Foods Ltd,Consumer Staples
FRN.AX,Fraser Range Metals Group Ltd,Materials
FRX.AX,Flexiroam Ltd,
FSA.AX,FSA Group Ltd,Financials
FSF.AX,Fonterra Shareholders' Fund,Consumer Staples
FSG.AX,Field Solutions Holdings Ltd,
FSI.AX,Flagship Investments Ltd,
FTC.AX,Fintech Chain Ltd,Information Technology
FTT.AX,Factor Therapeutics Ltd,Health Care
FTZ.AX,Fertoz Ltd,Materials
FUEL.AX,Betashares Global Energy Companies ETF - Currency Hedged,
FUN.AX,Funtastic Ltd,Consumer Discretionary
FWD.AX,Fleetwood Corporation Ltd,Consumer Discretionary
FXL.AX,Flexigroup Ltd,Financials
FYI.AX,FYI Resources Ltd,Materials
FZO.AX,Family ZONE Cyber Safety Ltd,Information Technology
FZR.AX,Fitzroy River Corporation Ltd,Energy
G1A.AX,Galena Mining Ltd,Materials
G88.AX,Golden Mile Resources Ltd,Materials
GAL.AX,Galileo Mining Ltd,Materials
GAP.AX,Gale Pacific Ltd,Consumer Discretionary
GAS.AX,State GAS Ltd,Energy
GBE.AX,Globe Metals & Mining Ltd,Materials
GBM.AX,GBM Gold Ltd,Materials
GBND.AX,Betashares Sustainability Leaders DVRSFD Bond ETF - Cur HDG,
GBP.AX,Global Petroleum Ltd,Energy
GBR.AX,Great Boulder Resources Ltd,Materials
GBZ.AX,GBM Resources Ltd,Materials
GC1.AX,Glennon Small Companies Ltd,
GCI.AX,Gryphon Capital Income Trust,
GCR.AX,Golden Cross Resources Ltd,Materials
GCY.AX,Gascoyne Resources Ltd,Materials
GDF.AX,Garda Property Group,Real Estate
GDG.AX,Generation Development Group Ltd,Financials
GDI.AX,GDI Property Group,Real Estate
GDX.AX,Vaneck Vectors Gold Miners ETF,
GEAR.AX,Betashares Geared Australian Equity Fund (Hedge Fund),
GED.AX,Golden Deeps Ltd,Materials
GEM.AX,G8 Education Ltd,Consumer Discretionary
GES.AX,Genesis Resources Ltd,Materials
GEV.AX,Global Energy Ventures Ltd,Energy
GFI.AX,Global Fortune Investment Ltd,Materials
GFL.AX,Global Masters Fund Ltd,
GGE.AX,Grand Gulf Energy Ltd,Energy
GGG.AX,Greenland Minerals Ltd,Materials
GGUS.AX,Betashares Geared US EQ FND Currency Hdged HDG FND,
GGX.AX,GAS2GRID Ltd,Energy
GIB.AX,Gibb River Diamonds Ltd,Materials
GID.AX,"Gi Dynamics, Inc",Health Care
GLA.AX,Gladiator Resources Ltd,Materials
GLB.AX,Globe International Ltd,Consumer Discretionary
GLE.AX,GLG Corp Ltd,Consumer Discretionary
GLH.AX,Global Health Ltd,Health Care
GLIN.AX,AMP Cap Global Infrastructure Sec Fund,
GLL.AX,Galilee Energy Ltd,Energy
GLN.AX,Galan Lithium Ltd,Materials
GLV.AX,Global Oil & Gas Ltd,Energy
GMA.AX,Genworth Mortgage Insurance Australia Ltd,Financials
GMC.AX,Gulf Manganese Corporation Ltd,Materials
GMD.AX,Genesis Minerals Ltd,Materials
GME.AX,GME Resources Ltd,Materials
GMG.AX,Goodman Group,Real Estate
GML.AX,Gateway Mining Ltd,Materials
GMN.AX,Gold Mountain Ltd,Materials
GMR.AX,Golden Rim Resources Ltd,Materials
GMV.AX,G Medical Innovations Holdings Ltd,Health Care
GNC.AX,Graincorp Ltd,Consumer Staples
GNE.AX,Genesis Energy Ltd,Utilities
GNG.AX,GR Engineering Services Ltd,Materials
GNM.AX,Great Northern Minerals Ltd,Materials
GNX.AX,GENEX Power Ltd,Utilities
GO2.AX,The GO2 People Ltd,Industrials
GOLD.AX,ETFs Metal Securities Australia Ltd,Financials
GOO.AX,Gooroo Ventures Ltd,Information Technology
GOR.AX,Gold Road Resources Ltd,Materials
GOVT.AX,SPDR S&P/ASX Australian Government Bond Fund,
GOW.AX,Gowing Bros Ltd,Financials
GOZ.AX,Growthpoint Properties Australia,Real Estate
GPR.AX,Geopacific Resources Ltd,Materials
GPS.AX,GPS Alliance Holdings Ltd,Real Estate
GPT.AX,GPT Group,Real Estate
GPX.AX,Graphex Mining Ltd,Materials
GRB.AX,Gage Roads Brewing Co Ltd,Consumer Staples
GRL.AX,Godolphin Resources Ltd,Materials
GRNV.AX,Vaneck Vectors MSCI Australian Sustainable Equity ETF,
GROW.AX,Schroder Real Return Fund (Managed Fund),
GRR.AX,Grange Resources Ltd,Materials
GRV.AX,Greenvale Energy Ltd,Energy
GSM.AX,Golden State Mining Ltd,Materials
GSN.AX,Great Southern Mining Ltd,Materials
GSS.AX,Genetic Signatures Ltd,Health Care
GSW.AX,Getswift Ltd,Information Technology
GTE.AX,Great Western Exploration Ltd,Materials
GTG.AX,Genetic Technologies Ltd,Health Care
GTK.AX,Gentrack Group Ltd,Information Technology
GTN.AX,GTN Ltd,Communication Services
GTR.AX,Gti Resources Ltd,Materials
GUD.AX,G.U.D. Holdings Ltd,Consumer Discretionary
GUL.AX,Gullewa Ltd,Materials
GVF.AX,Global Value Fund Ltd,
GWA.AX,GWA Group Ltd,Industrials
GWR.AX,GWR Group Ltd,Materials
GXY.AX,Galaxy Resources Ltd,Materials
HACK.AX,Betashares Global Cybersecurity ETF,
HAS.AX,Hastings Technology Metals Ltd,Materials
HAV.AX,Havilah Resources Ltd,Materials
HAW.AX,Hawthorn Resources Ltd,Materials
HBRD.AX,Betashares Active Australian Hybrids Fund (Managed Fund),
HCD.AX,Hydrocarbon Dynamics Ltd,Energy
HCH.AX,Hot Chili Ltd,Materials
HCT.AX,Holista Colltech Ltd,Consumer Staples
HE8.AX,Helios Energy Ltd,Energy
HEUR.AX,Betashares Europe ETF-Currency Hedged,
HFR.AX,Highfield Resources Ltd,Materials
HGH.AX,Heartland Group Holdings Ltd,Financials
HGL.AX,Hudson Investment Group Ltd,Real Estate
HGM.AX,High Grade Metals Ltd,Materials
HGO.AX,Hillgrove Resources Ltd,Materials
HHM.AX,Hampton Hill Mining NL,Materials
HHY.AX,HHY Fund,
HIL.AX,Hills Ltd,Information Technology
HIP.AX,Hipo Resources Ltd,Materials
HIT.AX,Hitech Group Australia Ltd,Industrials
HJPN.AX,Betashares Japan ETF-Currency Hedged,
HLA.AX,Healthia Ltd,Health Care
HLO.AX,Helloworld Travel Ltd,Consumer Discretionary
HLS.AX,Healius Ltd,Health Care
HLX.AX,HELIX Resources Ltd,Materials
HM1.AX,Hearts and Minds Investments Ltd,
HMC.AX,Home Consortium,Real Estate
HMD.AX,Heramed Ltd,Health Care
HMO.AX,Hearmeout Ltd,Information Technology
HMX.AX,Hammer Metals Ltd,Materials
HNG.AX,HGL Ltd,Industrials
HNR.AX,Hannans Ltd,Materials
HOG.AX,Hawkley Oil and Gas Ltd,Energy
HOR.AX,Horseshoe Metals Ltd,Materials
HOT.AX,Hotcopper Holdings Ltd,Communication Services
HPI.AX,Hotel Property Investments,Real Estate
HPR.AX,High Peak Royalties Ltd,Energy
HRL.AX,HRL Holdings Ltd,Industrials
HRN.AX,Horizon Gold Ltd,Materials
HRR.AX,Heron Resources Ltd,Materials
HRZ.AX,Horizon Minerals Ltd,Materials
HSC.AX,Homestay Care Ltd,Information Technology
HSN.AX,Hansen Technologies Ltd,Information Technology
HT1.AX,HT&E Ltd,Communication Services
HT8.AX,Harris Technology Group Ltd,Consumer Discretionary
HTA.AX,Hutchison Telecommunications (Australia) Ltd,
HTG.AX,Harvest Technology Group Ltd,Information Technology
HUB.AX,HUB24 Ltd,Financials
HUO.AX,Huon Aquaculture Group Ltd,Consumer Staples
HVM.AX,Happy Valley Nutrition Ltd,Consumer Staples
HVN.AX,Harvey Norman Holdings Ltd,Consumer Discretionary
HVST.AX,Betashares Australian Dividend Harvester Fund (Managed Fund),
HWH.AX,Houston We Have Ltd,Information Technology
HWK.AX,Hawkstone Mining Ltd,Materials
HXG.AX,Hexagon Energy Materials Ltd,Materials
HYD.AX,HYDRIX Ltd,Information Technology
HZN.AX,Horizon Oil Ltd,Energy
HZR.AX,HAZER Group Ltd,Materials
IAA.AX,Ishares Asia 50 ETF,
IAF.AX,Ishares Core Composite Bond ETF,
IAG.AX,Insurance Australia Group Ltd,Financials
IAM.AX,Intiger Group Ltd,Information Technology
IAP.AX,Investec Australia Property Fund,Real Estate
IBC.AX,Ironbark Capital Ltd,
IBG.AX,Ironbark ZINC Ltd,Materials
IBX.AX,Imagion Biosystems Ltd,Health Care
ICE.AX,Icetana Ltd,Information Technology
ICG.AX,Inca Minerals Ltd,Materials
ICI.AX,Icandy Interactive Ltd,Communication Services
ICN.AX,Icon Energy Ltd,Energy
ICQ.AX,Icar Asia Ltd,Consumer Discretionary
ICS.AX,Icsglobal Ltd,Health Care
ICT.AX,Icollege Ltd,Consumer Discretionary
ICU.AX,Isentric Ltd,Communication Services
ID8.AX,Identitii Ltd,Information Technology
IDA.AX,Indiana Resources Ltd,Materials
IDT.AX,IDT Australia Ltd,Health Care
IDX.AX,Integral Diagnostics Ltd,Health Care
IDZ.AX,Indoor Skydive Australia Group Ltd,Consumer Discretionary
IEC.AX,Intra Energy Corporation Ltd,Energy
IEL.AX,Idp Education Ltd,Consumer Discretionary
IEM.AX,Ishares MSCI Emerging Markets ETF,
IEQ.AX,International Equities Corporation Ltd,Real Estate
IEU.AX,Ishares Europe ETF,
IFL.AX,IOOF Holdings Ltd,Financials
IFM.AX,Infomedia Ltd,Information Technology
IFN.AX,Infigen Energy,Utilities
IFRA.AX,Vaneck Vectors Ftse Global Infrastructure (Hedged) ETF,
IFT.AX,Infratil Ltd,Utilities
IGB.AX,Ishares Treasury ETF,
IGE.AX,Integrated Green Energy Solutions Ltd,Industrials
IGL.AX,Ive Group Ltd,Communication Services
IGN.AX,Ignite Ltd,Industrials
IGO.AX,IGO Ltd,Materials
IHCB.AX,Ishares Core Global Corporate Bond(Aud Hedged) ETF,
IHD.AX,Ishares S&P/ASX Dividend Opportunities ETF,
IHEB.AX,Ishares JP Morgan Usd Emerging MKT BND Aud HDG ETF,
IHHY.AX,Ishares Global High Yield Bond (Aud Hedged) ETF,
IHL.AX,Impression Healthcare Ltd,Health Care
IHOO.AX,Ishares Global 100 Aud Hedged ETF,
IHR.AX,Intellihr Ltd,Information Technology
IHVV.AX,Ishares S&P 500 Aud Hedged ETF,
IHWL.AX,Ishares Core MSCI World All Cap (Aud Hedged) ETF,
IIND.AX,Betashares India Quality ETF,
IJH.AX,Ishares S&P Mid-Cap ETF,
IJP.AX,Ishares MSCI Japan ETF,
IJR.AX,Ishares S&P Small-Cap ETF,
IKE.AX,Ikegps Group Ltd,Information Technology
IKO.AX,Ishares MSCI South Korea ETF,
IKW.AX,Ikwezi Mining Ltd,Energy
ILB.AX,Ishares Government Inflation ETF,
ILC.AX,Ishares S&P/ASX 20 ETF,
ILU.AX,Iluka Resources Ltd,Materials
IMA.AX,Image Resources NL,Materials
IMC.AX,Immuron Ltd,Health Care
IMD.AX,IMDEX Ltd,Materials
IME.AX,Imexhs Ltd,Health Care
IMM.AX,Immutep Ltd,Health Care
IMPQ.AX,Einvest Future Impact Small Caps Fund (Managed Fund),
IMR.AX,"Imricor Medical Systems, Inc",Health Care
IMS.AX,Impelus Ltd,Communication Services
IMU.AX,Imugene Ltd,Health Care
INA.AX,Ingenia Communities Group,Real Estate
INCM.AX,Betashares Global Income Leaders ETF,
INES.AX,Intelligent Investor Ethical Share Fund (Managed Fund),
INF.AX,Infinity Lithium Corporation Ltd,Materials
ING.AX,Inghams Group Ltd,Consumer Staples
INIF.AX,Intelligent Investor Aus Equity Income Fund (Managed Fund),
INP.AX,Incentiapay Ltd,Consumer Discretionary
INR.AX,Ioneer Ltd,Materials
INV.AX,Investsmart Group Ltd,Financials
IOD.AX,Iodm Ltd,Information Technology
IOO.AX,Ishares Global 100 ETF,
IOZ.AX,Ishares Core S&P/ASX 200 ETF,
IP1.AX,Integrated Payment Technologies Ltd,Information Technology
IPB.AX,IPB Petroleum Ltd,Energy
IPC.AX,Imperial Pacific Ltd,Financials
IPD.AX,Impedimed Ltd,Health Care
IPH.AX,IPH Ltd,Industrials
IPL.AX,Incitec Pivot Ltd,Materials
IPT.AX,Impact Minerals Ltd,Materials
IQ3.AX,IQ3CORP Ltd,Financials
IRD.AX,Iron Road Ltd,Materials
IRE.AX,Iress Ltd,Information Technology
IRI.AX,Integrated Research Ltd,Information Technology
IS3.AX,I Synergy Group Ltd,Information Technology
ISD.AX,Isentia Group Ltd,Information Technology
ISEC.AX,Ishares Enhanced Cash ETF,
ISO.AX,Ishares S&P/ASX Small Ordinaries ETF,
ISU.AX,Iselect Ltd,Consumer Discretionary
ISX.AX,Isignthis Ltd,Information Technology
ITG.AX,Intega Group Ltd,Industrials
IVC.AX,Invocare Ltd,Consumer Discretionary
IVE.AX,Ishares MSCI Eafe ETF,
IVO.AX,Invigor Group Ltd,Communication Services
IVQ.AX,Invitrocue Ltd,Health Care
IVR.AX,Investigator Resources Ltd,Materials
IVT.AX,Inventis Ltd,Industrials
IVV.AX,Ishares S&P 500 ETF,
IVX.AX,Invion Ltd,Health Care
IVZ.AX,Invictus Energy Ltd,Energy
IWLD.AX,Ishares Core MSCI World All Cap ETF,
IXC.AX,INVEX Therapeutics Ltd,Health Care
IXI.AX,Ishares Global Consumer Staples ETF,
IXJ.AX,Ishares Global Healthcare ETF,
IXR.AX,Ionic Rare EARTHS Ltd,Materials
IXU.AX,Ixup Ltd,Information Technology
IZZ.AX,Ishares China Large-Cap ETF,
JAL.AX,Jameson Resources Ltd,Materials
JAN.AX,Janison Education Group Ltd,Information Technology
JAT.AX,Jatenergy Ltd,Consumer Discretionary
JAY.AX,Jayride Group Ltd,Consumer Discretionary
JBH.AX,JB Hi-Fi Ltd,Consumer Discretionary
JCI.AX,Jiancheng International Group Ltd,Industrials
JCS.AX,Jcurve Solutions Ltd,Information Technology
JDR.AX,Jadar Resources Ltd,Materials
JHC.AX,Japara Healthcare Ltd,Health Care
JHG.AX,Janus Henderson Group Plc,Financials
JHL.AX,JAYEX Healthcare Ltd,Health Care
JHX.AX,James Hardie Industries Plc,Materials
JIN.AX,Jumbo Interactive Ltd,Consumer Discretionary
JIP.AX,Jack-in Group Ltd,Industrials
JJF.AX,Jiajiafu Modern Agriculture Ltd,Consumer Staples
JKA.AX,Jacka Resources Ltd,Energy
JLG.AX,Johns LYNG Group Ltd,Industrials
JMS.AX,Jupiter Mines Ltd,Materials
JPR.AX,Jupiter Energy Ltd,Energy
JRL.AX,Jindalee Resources Ltd,Materials
JRV.AX,Jervois Mining Ltd,Materials
JXT.AX,Jaxsta Ltd,Information Technology
JYC.AX,Joyce Corporation Ltd,Consumer Discretionary
K2F.AX,K2FLY Ltd,Information Technology
KAI.AX,Kairos Minerals Ltd,Materials
KAM.AX,K2 Asset Management Holdings Ltd,Financials
KAR.AX,Karoon Energy Ltd,Energy
KAS.AX,Kasbah Resources Ltd,Materials
KAT.AX,Katana Capital Ltd,
KAU.AX,Kaiser Reef Ltd,Materials
KBC.AX,Keybridge Capital Ltd,Financials
KCN.AX,Kingsgate Consolidated Ltd,Materials
KEY.AX,KEY Petroleum Ltd,Energy
KFE.AX,Kogi Iron Ltd,Materials
KGD.AX,Kula Gold Ltd,Materials
KGL.AX,KGL Resources Ltd,Materials
KGM.AX,Kalnorth Gold Mines Ltd,Materials
KGN.AX,Kogan.com Ltd,Consumer Discretionary
KIN.AX,KIN Mining NL,Materials
KIS.AX,King Island Scheelite Ltd,Materials
KKC.AX,KKR Credit Income Fund,
KKL.AX,Kollakorn Corporation Ltd,Information Technology
KKO.AX,Kinetiko Energy Ltd,Energy
KLA.AX,Kirkland Lake Gold Ltd,Materials
KLL.AX,Kalium Lakes Ltd,Materials
KLO.AX,Kingsland Global Ltd,Real Estate
KLR.AX,Kaili Resources Ltd,Energy
KMD.AX,Kathmandu Holdings Ltd,Consumer Discretionary
KME.AX,Kip Mcgrath Education Centres Ltd,Consumer Discretionary
KMT.AX,Kopore Metals Ltd,Materials
KNH.AX,Koon Holdings Ltd,Industrials
KNM.AX,Kneomedia Ltd,Communication Services
KNO.AX,Knosys Ltd,Information Technology
KOR.AX,Korab Resources Ltd,Materials
KOV.AX,Korvest Ltd,Industrials
KP2.AX,Kore Potash Plc,Materials
KPC.AX,Kazakhstan Potash Corporation Ltd,Materials
KPE.AX,Kina Petroleum Corporation,Energy
KPG.AX,Kelly Partners Group Holdings Ltd,Industrials
KPO.AX,Kalina Power Ltd,Utilities
KPT.AX,Kangaroo Island Plantation Timbers Ltd,Materials
KRM.AX,Kingsrose Mining Ltd,Materials
KRR.AX,King River Resources Ltd,Materials
KRS.AX,Kresta Holdings Ltd,Consumer Discretionary
KSC.AX,K & S Corporation Ltd,Industrials
KSL.AX,Kina Securities Ltd,Financials
KSM.AX,K2 Australian Small Cap Fund (Hedge Fund),
KSN.AX,Kingston Resources Ltd,Materials
KSS.AX,Kleos Space S.A,Industrials
KTA.AX,Krakatoa Resources Ltd,Materials
KTD.AX,Keytone Dairy Corporation Ltd,Consumer Staples
KTE.AX,K2 Energy Ltd,Information Technology
KTG.AX,K-Tig Ltd,Industrials
